 ,Area,XM,YM,Perim.
127,7,526.50,157.21,9.07
128,9,451.17,158.61,10.49
129,7,465.50,158.79,9.07
130,8,535.38,159.62,9.07
131,4,444.00,160.00,5.66
132,6,487.83,161.33,9.07
133,7,480.64,163.21,9.07
134,11,428.32,165.32,11.90
135,9,446.50,164.50,9.66
136,6,456.17,164.83,9.07
137,8,466.75,166.12,10.49
138,7,487.79,167.50,9.07
139,6,421.50,169.00,7.66
140,5,527.90,171.70,7.66
141,11,425.86,174.41,11.07
142,3,489.83,173.83,5.66
143,7,434.79,176.50,9.07
144,6,453.33,177.33,8.49
145,7,445.64,178.21,9.07
146,5,485.70,178.90,7.66
147,7,535.21,180.50,8.49
148,11,541.32,181.41,12.49
149,7,470.79,182.50,9.07
150,5,479.70,182.90,7.66
151,12,515.50,184.00,11.66
152,5,533.30,184.10,7.07
153,10,421.20,188.20,11.31
154,6,468.33,187.33,8.49
155,5,437.90,188.70,7.66
156,10,533.00,189.70,10.49
157,8,450.38,190.38,9.07
158,8,508.75,191.88,10.49
159,9,517.83,191.39,9.90
160,8,457.62,192.38,9.07
161,6,436.33,193.33,8.49
162,12,539.50,196.00,14.49
163,12,428.58,196.25,12.49
164,7,494.07,198.36,9.90
165,4,484.00,199.00,5.66
166,4,480.00,200.00,5.66
167,5,509.10,200.70,7.66
168,6,522.00,201.50,7.66
169,3,515.17,202.83,5.66
170,8,438.62,204.38,9.07
171,8,413.00,206.50,9.90
172,12,423.75,207.67,13.31
173,6,469.33,206.33,8.49
174,6,503.00,205.83,9.07
175,7,508.79,206.50,9.07
176,7,413.79,211.07,9.07
177,5,457.30,210.90,7.07
178,12,532.75,212.75,13.07
179,5,527.30,213.90,7.07
180,7,472.50,215.79,9.07
181,6,527.67,218.67,8.49
182,10,410.30,219.50,11.07
183,4,471.00,220.00,5.66
184,6,433.33,223.67,8.49
185,8,396.62,224.38,9.07
186,7,408.50,224.79,9.07
187,7,506.21,224.50,8.49
188,6,456.00,225.50,7.66
189,8,517.62,225.38,9.07
190,6,531.50,225.00,7.66
191,8,470.38,226.62,9.07
192,12,418.00,229.00,11.31
193,7,504.50,228.50,8.49
194,9,403.83,229.61,9.90
195,8,523.62,229.62,9.07
196,4,532.00,229.00,5.66
197,8,445.25,232.38,10.49
198,6,472.00,232.00,9.07
199,8,423.38,233.38,9.07
200,15,513.70,235.70,14.49
201,8,528.62,235.38,9.07
202,10,431.00,236.50,10.49
203,5,445.30,238.10,7.07
204,5,408.30,239.10,7.07
205,9,394.50,242.50,9.66
206,9,401.83,242.61,9.90
207,8,435.38,242.38,9.07
208,6,406.67,243.67,8.49
209,9,521.83,244.72,10.49
210,7,464.50,245.21,9.07
211,7,445.21,246.50,8.49
212,6,459.00,246.50,7.66
213,8,475.38,246.62,9.07
214,6,497.50,246.00,7.66
215,4,492.00,247.00,5.66
216,10,508.00,248.70,10.49
217,9,423.39,249.83,10.49
218,7,438.79,249.50,9.07
219,10,517.50,250.30,11.07
220,8,394.00,254.00,11.31
221,9,495.39,254.17,10.49
222,7,415.79,255.50,9.07
223,9,486.83,255.39,9.90
224,7,451.79,259.50,9.07
225,8,435.62,260.38,9.07
226,6,459.50,260.00,7.66
227,5,507.90,261.70,7.66
228,6,427.67,262.67,8.49
229,5,456.30,263.10,7.07
230,7,390.21,264.93,10.49
231,5,419.10,267.30,7.66
232,6,403.50,271.00,7.66
233,4,443.00,271.00,5.66
234,6,502.00,271.50,7.66
235,6,510.83,271.83,9.07
236,6,439.33,272.67,8.49
237,8,389.62,274.38,9.07
